,t,X (pixel),Y (pixel),X (nm),Y (nm),dr (nm),N1,N2,N3,N4,event,ex,ey,N_bound
0,0.0,1000,1000,3162.2776601683795,3162.2776601683795,0.0,40,1,0,0,0,982,982,1
1,0.020836830612910633,997,1000,3152.7908271878746,3162.2776601683795,9.486832980505138,46,2,0,0,1,1004,997,2
2,0.16393319476246745,997,999,3152.7908271878746,3159.115382508211,3.1622776601683795,44,3,0,0,1,1001,1000,3
3,0.19324946365064927,997,994,3152.7908271878746,3143.303994207369,15.811388300841898,51,4,0,0,1,996,993,4
4,0.2459186055313346,998,998,3155.9531048480426,3155.9531048480426,13.038404810405298,46,5,0,0,1,998,995,5
5,0.41509540439272097,998,997,3155.9531048480426,3152.7908271878746,3.1622776601683795,51,6,0,0,1,995,992,6
6,0.4315299914617341,998,996,3155.9531048480426,3149.628549527706,3.1622776601683795,49,7,0,0,1,1003,990,7
7,0.48088048405621286,997,995,3152.7908271878746,3146.4662718675377,4.47213595499958,49,8,0,0,1,991,1000,8
8,0.5038553481390169,997,995,3152.7908271878746,3146.4662718675377,0.0,48,9,0,0,1,997,990,9
9,0.6609866414153198,997,995,3152.7908271878746,3146.4662718675377,0.0,47,10,0,0,1,994,1002,10
10,0.7431854137643974,997,995,3152.7908271878746,3146.4662718675377,0.0,46,11,0,0,1,998,999,11
11,0.77071924144376,997,995,3152.7908271878746,3146.4662718675377,0.0,45,12,0,0,1,992,989,12
12,0.8396479882748435,997,995,3152.7908271878746,3146.4662718675377,0.0,44,13,0,0,1,997,994,13
13,0.9912728170655856,997,995,3152.7908271878746,3146.4662718675377,0.0,43,14,0,0,1,990,998,14
14,1.006937098998503,997,995,3152.7908271878746,3146.4662718675377,0.0,42,15,0,0,1,994,992,15
15,1.1741628314728227,997,995,3152.7908271878746,3146.4662718675377,0.0,41,16,0,0,1,994,996,16
16,1.1894482130202662,997,995,3152.7908271878746,3146.4662718675377,0.0,40,17,0,0,1,1005,992,17
17,1.392271913067252,997,995,3152.7908271878746,3146.4662718675377,0.0,39,18,0,0,1,994,990,18
18,1.4110175652660195,997,995,3152.7908271878746,3146.4662718675377,0.0,38,19,0,0,1,997,1003,19
19,1.4176502650901888,997,995,3152.7908271878746,3146.4662718675377,0.0,37,20,0,0,1,1000,992,20
20,1.4200957661916653,997,995,3152.7908271878746,3146.4662718675377,0.0,36,21,0,0,1,1002,1002,21
21,1.4703246683251596,997,995,3152.7908271878746,3146.4662718675377,0.0,35,22,0,0,1,999,1002,22
22,1.5715554905096905,997,995,3152.7908271878746,3146.4662718675377,0.0,34,23,0,0,1,996,992,23
23,1.5838521192694517,997,995,3152.7908271878746,3146.4662718675377,0.0,33,24,0,0,1,1001,1001,24
24,1.584347349586847,997,995,3152.7908271878746,3146.4662718675377,0.0,32,25,0,0,1,1004,992,25
25,1.643328997780138,997,995,3152.7908271878746,3146.4662718675377,0.0,31,26,0,0,1,1002,989,26
26,1.7086585527581948,997,995,3152.7908271878746,3146.4662718675377,0.0,30,27,0,0,1,996,989,27
27,1.7365004762066194,997,995,3152.7908271878746,3146.4662718675377,0.0,29,28,0,0,1,999,987,28
28,1.744714242768362,997,995,3152.7908271878746,3146.4662718675377,0.0,28,29,0,0,1,1000,987,29
29,1.8424381869536628,997,995,3152.7908271878746,3146.4662718675377,0.0,27,30,0,0,1,1000,988,30
30,2.0669175940544875,997,995,3152.7908271878746,3146.4662718675377,0.0,26,31,0,0,1,991,991,31
31,2.1566349430253102,997,995,3152.7908271878746,3146.4662718675377,0.0,25,32,0,0,1,996,996,32
32,2.196778555565456,997,995,3152.7908271878746,3146.4662718675377,0.0,24,33,0,0,1,993,989,33
33,2.2317630185911104,997,995,3152.7908271878746,3146.4662718675377,0.0,23,34,0,0,1,992,995,34
34,2.332227599092812,997,995,3152.7908271878746,3146.4662718675377,0.0,22,35,0,0,1,998,1003,35
35,2.3524001779382466,997,995,3152.7908271878746,3146.4662718675377,0.0,21,36,0,0,1,993,995,36
36,2.4829419748533974,997,995,3152.7908271878746,3146.4662718675377,0.0,20,37,0,0,1,998,994,37
37,2.506876731768901,997,995,3152.7908271878746,3146.4662718675377,0.0,19,38,0,0,1,994,993,38
38,2.7811753024147574,997,995,3152.7908271878746,3146.4662718675377,0.0,18,39,0,0,1,999,990,39
39,2.8193939753068675,997,995,3152.7908271878746,3146.4662718675377,0.0,18,38,1,0,2,998,994,39
40,2.92002404462818,997,995,3152.7908271878746,3146.4662718675377,0.0,17,39,1,0,1,1004,993,40
41,2.9551749803485308,997,995,3152.7908271878746,3146.4662718675377,0.0,17,39,0,1,3,998,994,39
42,3.0562391739611923,997,995,3152.7908271878746,3146.4662718675377,0.0,16,40,0,1,1,1000,996,40
43,3.0596594814812996,997,995,3152.7908271878746,3146.4662718675377,0.0,15,41,0,1,1,994,997,41
44,3.0892483953164684,997,995,3152.7908271878746,3146.4662718675377,0.0,14,42,0,1,1,997,995,42
